city,name,state,country,address,index
Conway,Main Street,NH,US,,145
Conway,,NC,US,,146
Cookeville,Cookeville Town Square,TN,US,,147
Cooperstown,Cooperstown Pioneer Park on Main Street,NY,US,,148
Coos Bay,Coos Bay Boardwalk,OR,US,,149
Corpus Christi,Cole park,TX,US,,150
Cortland,Christ Community Church,NY,US,,151
Corvallis,,OR,US,,152
Coupeville,Island County Courthouse,WA,US,,153
Covington,St. Tammany Justice Center,LA,US,,154
Cranston,Slate Hill Park near the ACI,RI,US,,155
Crawfordville,ICE Detention Center,FL,US,,156
Cumberland,Corner of Baltimore and Liberty Streets,MD,US,,157
Dade City,Historic Downtown Courthouse,FL,US,,158
Dallas,Dallas City Hall,TX,US,,159
Dallas,outside ICE building near Stemmons Freeway,TX,US,,160
Dalton,parking lot of Delray Farms Fresh Market on East Walnut Avenue,GA,US,,161
Damariscotta,The Bridge at Newcastle And Damariscotta,ME,US,,162
Darlington,Darlington City Square (Courthouse),SC,US,,163
Dartmouth,in front of Bristol County Sheriff’s Office,MA,US,,164
Davenport,Vanderveer park,IA,US,,165
Davidson,Davidson Village Green,NC,US,,166
Dayton,Courthouse Square-Montgomery Co,OH,US,,167
Daytona Beach,Corner of International Speedway Blvd and Beach Street,FL,US,,168
Deep River,Town Hall,CT,US,,169
Deland,Corner of New York Ave & Woodland,FL,US,,170
Delaware,Bicentennial,OH,US,,171
Dennis,In Front of Town Hall,MA,US,,172
Denton,Denton County Courthouse on The Square,TX,US,,173
Denver,Civic Center Park,CO,US,,174
Des Moines,Iowa State Capitol,IA,US,,175
Detroit,Hart Plaza,MI,US,,176
Detroit,Clark Park,MI,US,,177
Detroit Lakes,Veteran's Memorial Park,MN,US,,178
Dodge City,Dodge City Medical Center Parking Lot,KS,US,,179
Dothan,Angel Of Hope Statue (Westgate Park),AL,US,,180
Dover,Legislative Mall,DE,US,,181
Downers Grove,DG North: Main St Parking Lot; Fishel Park,IL,US,,182
Doylestown,Old Bucks County Courthouse,PA,US,,183
Dublin,City Hall Plaza,CA,US,,184
Duluth,MN Power Plaza,MN,US,,185
Dunkirk,"Washington Park,",NY,US,,186
Durango,Buckley Park,CO,US,,187
Durham ,,NC,US,,188
East Haddam,Two Wrasslin' Cats,CT,US,,189
East Meadow,Nassau County Correctional Facility,NY,US,,190
East Quogue,East Quogue Park,NY,US,,191
East Setauket,,NY,US,,192
Eastham,Windmill Green,MA,US,,193
Easthampton,Millside park,MA,US,,194
Eau Claire,Eau Claire Wilson Park,WI,US,,195
Edinburg,Edinburg county court,TX,US,,196
Edison,Oak Tree Pond Park,NJ,US,,197
Edwards,Edwards Rest Stop,CO,US,,198
El Cajon,City Hall,CA,US,,199
El Paso,San Jacinto Plaza,TX,US,,200
Elgin,Corner of Kimball Street and Grove Avenue,IL,US,,201
Ellensburg,"Rotary Pavilion, 104 East 4th Avenue",WA,US,,202
Elmira,Wisner Park,NY,US,,203
Encinitas,Swami's Beach Park (above the beach),CA,US,,204
Englewood,Depot Square,NJ,US,,205
Essex Junction,5 Corners,VT,US,,206
Eugene,"Kesey square, also known as Broadway Plaza",OR,US,,207
Eureka,,CA,US,,208
Evansville,Winfield K Denton Federal Building (Public Sidewalk),IN,US,,209
Everett,Snohomish County Superior Court,WA,US,,210
Fair Harbor,,NY,US,,211
Fairbanks,Golden Heart Plaza,AK,US,,212
Fairfield,"Sherman Green Gazebo, Downtown Fairfield",CT,US,,213
Fairfield,Central Park Square,IA,US,,214
Falmouth,Falmouth Village Green,MA,US,,215
Fargo,downtown Fargo Library,ND,US,,216
Farmington,Farmington Post Office,ME,US,,217
Farmington,in front of museum,NM,US,,218
Fayetteville,Town Center,AR,US,,219
Fire Island,,NY,US,,220
Flagstaff,Flagstaff City Hall,AZ,US,,221
Flemington,courthouse,NJ,US,,222
Flint,The Downtown Flat Lot,MI,US,,223
Florence,Mobile Plaza (North Court Street @ East Mobile Street),AL,US,,224
Ford Smith,74th Street (sidewalk in front of the post office),AR,US,,225
Fort Bragg,Town Hall,CA,US,,226
Fort Gratiot,"Birchwood Mall, on the right of way not the mall itself",MI,US,,227
Fort Myers,Old Fort Myers County Court House,FL,US,,228
Fort Wayne,Allen County Courthouse Green,IN,US,,229
Fort Worth,Tarrant County Court House,TX,US,,230
Framingham,Memorial Building,MA,US,,231
Frankfort,Breidert Green,IL,US,,232
Franklin,"The Gazebo in Downtown Franklin, NC - Across from the Courthouse",NC,US,,233
Frederick,Vista Shopping Center,MD,US,,234
Fremont,Veterans Park at Fremont Superior Court House,CA,US,,235
Fresno,Courthouse Park,CA,US,,236
Friday Harbor,San Juan county district court lawn,WA,US,,237
Gallup,East Historic Highway,NM,US,,238
Gainesville,City Hall,FL,US,,239
Galveston,4700 Seawall Blvd,TX,US,,240
Gastonia,Martin Luther King Monunment,NC,US,,241
Geneva,Geneva Lakefront Visitors Center,NY,US,,242
Gilette,Lasting Legacy Park,WY,US,,243
Glen Ridge,Glen Ridge Congregational Church,NJ,US,,244
Glen Rock,Steps of Glen Rock Borough Hall,NJ,US,,245
Glens Falls,Rep. Stefanik's office,NY,US,,246
Glenview,Glenview Veteran's Memorial,IL,US,,247
Glenwood Springs,Sayre Park,CO,US,,248
Goshen,Elkhart County Courthouse Steps,IN,US,,249
Gouldsboro,,ME,US,,250
Granbury,Hood County Courthouse,TX,US,,251
Grand Forks,Parking Garage behind the County Office Building,ND,US,,252
Grand Junction,Mesa County Old Courthouse,CO,US,,253
Grand Marais,Harbor Park,MN,US,,254
Grand Rapids,Rosa Parks Circle,MI,US,,255
Grand Rapids,"Central School, Downtown Grand Rapids",MN,US,,256
Grants Pass,,OR,US,,257
Granville,Town Green,MA,US,,258
Grass Valley,Brunswick & Sutton,CA,US,,259
Great Barrington,"Corner of Main Street and State Road in front of the ""GB"" shrubbery",MA,US,,260
Great Falls,Civic Center Steps,MT,US,,261
Great Neck,,NY,US,,262
Green Bay,Green Bay CityDeck,WI,US,,263
Greeneville,Greene County Courthouse,TN,US,,264
Greenfield,Greenfield Town Common,MA,US,,265
Greenfield,,CA,US,,266
Greenport,Mitchell Park,NY,US,,267
Greensboro,Governmental Plaza,NC,US,,268
Greensboro,LeBauer Park,NC,US,,269
Greenville,Pitt County Courthouse,NC,US,,270
Greenville,Graham plaza at main,SC,US,,271
Greenwich,Town Hall,CT,US,,272
Gulfport,Steps & deck outside Gulfport Casino,FL,US,,273
Half Moon Bay,Mac Dutra Park,CA,US,,274
Hamilton,,NY,US,,275
Hammond,Hammond Federal Building,IN,US,,276
Hanover,Corner of Dartmouth College Green closest to Wheelock Street,NH,US,,277
Harrisburg,Capitol Steps,PA,US,,278
Harrisonburg,Court Square,VA,US,,279
Hart,Hart Commons,MI,US,,280
Harwich,"Western sidewalk of Rt 137, across from Rt. 6 Exit 11 east-bound off ramp stoplight",MA,US,,281
Haverhill,"White's Corner. Downtown Haverhill, in front of Market Basket PLaza",MA,US,,282
Healdsburg,Corner of Healdsburg Ave. & Matheson St.,CA,US,,283
Helena,Women's Park,MT,US,,284
Hendersonville,Hendersonville Historic Courthouse,NC,US,,285
Henry County,,TN,US,,286
Hernando,Senator Roger Wickers Office (In front of his office),MS,US,,287
Highland Park,,IL,US,,288
Hillsboro,,OR,US,,289
Hilo,,HI,US,,290
Holland,Centennial Park,MI,US,,291
Hollister,4th and San Benito Street,CA,US,,292
Hollywood,Diplomat Hotel,FL,US,,293
Honolulu,Hawaii State Capitol to the Oahu Federal Bldg.,HI,US,,294
Horsham,Kohler Park,PA,US,,295
Hot Springs,Bathhouse Row,AR,US,,296
Houghton,portage lift bridge,MI,US,,297
Houston,,TX,US,,298
Huntington Station,49 West Jericho tpke Intersection,NY,US,,299
Huntsville,Big Spring Park,AL,US,,300
Hyannis,Old Chili's location-Intersection rt132/rt28 in Hyannis at Airport Rotary,MA,US,,301
Idaho City,Courthouse Lawn,ID,US,,302
Idaho Falls,Bonneville County Courthouse,ID,US,,303
Idyllwild,Town Monument,CA,US,,304
Indiana,IRMC PARK,PA,US,,305
Indianapolis,US Court/Federal Building,IN,US,,306
Inverness,Old Citrus County Courthouse,FL,US,,307
Iowa City,Pentacrest and downtown Iowa City,IA,US,,308
Iron Mountain,City Hall,MI,US,,309
Irvine,Portola High School,CA,US,,310
Ithaca,"Bernie Milton Pavilion, Ithaca Commons",NY,US,,311
Jackson,Rep. Tim Walberg's Office,MI,US,,312
Jackson,Governor's Mansion,MS,US,,313
Jackson,Madison County Courthouse,TN,US,,314
Jackson Heights,,NY,US,,315
Jackson Hole,town square,WY,US,,316
Jacksonville,City Hall,FL,US,,317
Jensen Beach,Treasure Coast Mall Entrance,FL,US,,318
Johnson City,Founder park,TN,US,,319
Johnstown,,PA,US,,320
Joliet,Chicago St. Plaza,IL,US,,321
Jonesboro,Craighead County Courthouse,AR,US,,322
Juneau,Capital School Park,AK,US,,323
Kahului,Corner of Pu'unene and Ka'ahumanu,HI,US,,324
Kahului,Maui Community College,HI,US,,325
Kailua-Kona,Queen Ka'ahumanu HWY. South of Henry Street,HI,US,,326
Kalamazoo,Bronson Park,MI,US,,327
Kalispell,Depot Park,MT,US,,328
Kamuela,Church Row,HI,US,,329
Kanab,,UT,US,,330
Kansas City,Penn Valley Park,MO,US,,331
Keene,Central Square,NH,US,,332
Kennett Square,,PA,US,,333
Kenosha,Navy Memorial Park,WI,US,,334
Kerrville,Kerr County Courthouse Sidewalk,TX,US,,335
Ketchikan,Berth 4 Ketchikan dock,AK,US,,336
Ketchum,Ketchum Town Square,ID,US,,337
Key Largo,Murray Nelson Center,FL,US,,338
King City,Corner of Broadway Street and San Antonio Drive ,CA,US,,339
Kingman,Trinity Episcopal Church,AZ,US,,340
Kingston,Holy Cross Santa Cruz Church Parking Lot,NY,US,,341
Knoxville,City County Building,TN,US,,342
Kodiak,Main Downtown Intersection,AK,US,,343
La Crosse,Cameron Park,WI,US,,344
Lafayette,Federal Court,LA,US,,345
Laguna Beach,Main Beach / Laguna Beach,CA,US,,346
Lake Charles,Lock Park,LA,US,,347
Lake Worth,Old Lake Worth City Hall,FL,US,,348
Lakeland,Lake Mirror,FL,US,,349
Lakeport,Historic Lake County Courthouse Square,CA,US,,350
Lambertville,North Union Street Park,NJ,US,,351
Lancaster,Lancaster library,CA,US,,352
Lancaster,outside Lancaster County Courthouse,PA,US,,353
Lanesboro,Lanesboro Baseball field,MN,US,,354
Langley,,WA,US,,355
Lansing,Lansing Capitol Building,MI,US,,356
Laredo,City Hall,TX,US,,357
Las Vegas,U.S. Federal Courthouse,NV,US,,358
Lawrence,South Park,KS,US,,359
Lawrenceville,Gwinnett Justice Center,GA,US,,360
Lenexa,Shawnee Mission Park,KS,US,,361
Leonia,,NJ,US,,362
Lewiston,Sidewalks around Lewiston Public Library,ID,US,,363
Lewiston/Auburn,Longley Bridge- Auburn side,ME,US,,364
Lexington,Fayette County Circuit Court,KY,US,,365
Libby,,MT,US,,366
Liberty,Daniel Pavilion,TX,US,,367
Lido Beach,March along Lido Blvd. from Townhouses to Point Lookout,NY,US,,368
Lincoln,Sen. Deb Fischer Office,NE,US,,369
Lincoln,Nebraska State Capitol Building steps,NE,US,,370
Litchfield,Litchfield Town Green,CT,US,,371
Little Rock,State Capitol grounds,AR,US,,372
Littleton,Littleton Post Office,NH,US,,373
Livermore,Flag Pole in downtown Livermore,CA,US,,374
Livingston,Sidewalk at Depot Park,MT,US,,375
Logan,Cache County Courthouse,UT,US,,376
Logansport,Near Logansport Farmers Market,IN,US,,377
Long Beach,Cesar Chavez Park to Glenn Anderson Federal building,CA,US,,378
Longmont,,CO,US,,379
Longview,Heritage Plaza,TX,US,,380
Longview,Corner of 30th and Ocean Beach Hwy,WA,US,,381
Los Angeles,Downtown,CA,US,,382
Louisville,steps of Metro Hall,KY,US,,383
Louisville,ICE offices on Seventh Street,KY,US,,384
Lubbock,Tim Cole Statue Memorial Park,TX,US,,385
Ludington,Rotary Park,MI,US,,386
Lufkin,Angelina County Courthouse,TX,US,,387
Lumpkin,Stewart Detention Center,GA,US,,388
Lunenburg,Outside the Lunenburg Town Hall 17 Main Street,MA,US,,389
Machias,Lee Pellon Center parking lot across from Helens,ME,US,,390
Macomb,Chandler Park,IL,US,,391
Madison,"State Capitol, State St Entrance",WI,US,,392
Madisonville,First United Bank Plaza on Center Street,KY,US,,393
Madras,Corner of Hwy 97 and Hwy 26 across from Sonic,OR,US,,394
Malibu,Corner of Webb Way and PCH,CA,US,,395
Malone,Arsenal Green,NY,US,,396
Manchester,Manchester City Hall,NH,US,,397
Manchester Center,Adams Park,VT,US,,398
Manistee,Downtown,MI,US,,399
Mankato,Riverfront Park Outdoor Shelter,MN,US,,400
Mansfield,North Common,MA,US,,401
Marquette,Marquette Post Office,MI,US,,402
Marshalltown,Marshall County Courthouse,IA,US,,403
Mashpee,Mashpee Rotary,MA,US,,404
Mason City,Central Park,IA,US,,405
McAllen,U.S. Border Patrol McAllen Station,TX,US,,406
McCall,Downtown,ID,US,,407
McCook,Norris Park,NE,US,,408
McKinney,"Mitchell Park, near the Square",TX,US,,409
Medford,Vogel Plaza,OR,US,,410
Melbourne,Eau Gallie Causeway,FL,US,,411
Memphis,Gaisman Park,TN,US,,412
Menomonie,UW Stout Clocktower Plaze to Wilson Park and to the Children at Play sculpture,WI,US,,413
Merced,Courthouse Park,CA,US,,414
Meridian,Storey Park,ID,US,,415
Miami,Tropical Park,FL,US,,416
Miami,Miami Dade Wolfson Campus to Freedom Tower,FL,US,,417
Middletown,Union Green,CT,US,,418
Midland,Midland Park Mall,TX,US,,419
Milford,City Hall,CT,US,,420
Milford,Town Hall,MA,US,,421
Milford,,PA,US,,422
Milltown,St. Barnabas Episcopal Church,DE,US,,423
Milwaukee,517 E Wisconsin Ave,WI,US,,424
Mineral Point,Water Tower Park,WI,US,,425
Minneapolis,Minneapolis Convention Center,MN,US,,426
Minocqua,Downtown Minocqua. Meet in Municipal Parking Lot next to Veteran's Park & Post Office,WI,US,,427
Missoula,Missoula County Courthouse,MT,US,,428
Mobile,Public Safety Memorial Park,AL,US,,429
Modesto,Five Points,CA,US,,430
Monterey,Windows on the Bay,CA,US,,431
Monticello,,NY,US,,432
Montgomery,Capitol Sidewalk Dexter Ave,AL,US,,433
Montrose,Corner of Main Street and Townsend Avenue,CO,US,,434
Morehead,Fountain Park,KY,US,,435
Moreno Valley,Cardenas Market,CA,US,,436
Morgan Hill,Morgan Hill Community and Cultural Center,CA,US,,437
Morganton,,NC,US,,438
Mount Vernon,Skagit County courthouse,WA,US,,439
Mountain View,Civic Center Plaza,CA,US,,440
Murfreesboro,outside Rep Scott Desjarlais' office,TN,US,,441
Muscatine,Muscatine Riverside Park - By the Playground,IA,US,,442
Muskegon,Hackley Park,MI,US,,443
Myrtle Beach,Valor Memorial Park,SC,US,,444
Nacogdoches,Banita Creek Park,TX,US,,445
Nags Head,Dowdy Park and Nags Head Beach,NC,US,,446
Nantucket,Intersection of South Water St. and Broad St. Nantucket,MA,US,,447
Napa,Veterans Memorial Park,CA,US,,448
Naples,Collier County Jail,FL,US,,449
Nashua,Greeley Park Bandshell side of the Park,NH,US,,450
Nashville,Centennial Park,TN,US,,451
Natick,Natick Common,MA,US,,452
National City,,CA,US,,453
New Bedford,Bethel AME Church,MA,US,,454
New Brunswick,New Brunswick City Hall,NJ,US,,455
New City,Rockland County Courthouse,NY,US,,456
New London,Williams Park,CT,US,,457
New Orleans,Congo Square,LA,US,,458
New Paltz,in front of Elting Memorial Library,NY,US,,459
New Port Richey,Near Walmart on US 19 @ Ridge Rd,FL,US,,460
New Rochelle,New Rochelle United Methodist Church,NY,US,,461
New York,Foley Square to Brooklyn Bridge,NY,US,,462
New York,666 5th Avenue; near Trump Tower,NY,US,,463
New York,Jackson Heights; Corona; Queens,NY,US,,464
Newark,Newark City Hall,NJ,US,,465
Newburyport,Market Square,MA,US,,466
Newport News,Rouse Tower ,VA,US,,467
Newton,Old Newton Courthouse Lawn; Catawba County Museum of History,NC,US,,468
Nogales,1904 Courthouse,AZ,US,,469
Norfolk,US Customs and Border Patrol Office,VA,US,,470
Norfolk,Shoop Park,VA,US,,471
Norristown,steps of Montgomery County Courthouse,PA,US,,472
North Dartmouth,Bristol County House of Corrections,MA,US,,473
North Truro,Rt 6 and Shore Rd,MA,US,,474
Northborough,Ellsworth Park,MA,US,,475
Norwalk,Downtown Norwalk,OH,US,,476
Oakland,Near Lake Merritt,CA,US,,477
Oberlin,,OH,US,,478
Ocracoke,,NC,US,,479
Ojai,Libbey Park,CA,US,,480
Oklahoma City,Oklahoma State Capitol,OK,US,,481
Okoboji,Okoboji bridge between West Lake and East Lake,IA,US,,482
Olympia,"Capitol Campus, Legislative Steps",WA,US,,483
Omaha,Plaza de la Raza,NE,US,,484
Onalaska,Caribou coffee,WI,US,,485
Onancock,,VA,US,,486
Orlando,Outside Orlando City Hall,FL,US,,487
Orleans,Orleans Ma. rotary,MA,US,,488
Oshkosh,Main Street Sundial,WI,US,,489
Oswego,Corner of W Bridge & W First Streets,NY,US,,490
Ottawa,Jordan Block,IL,US,,491
Oxford,Memorial Park,OH,US,,492
Oxnard,Collections Shopping Center,CA,US,,493
Palm Springs,Frances Stevens Park,CA,US,,494
Palmetto Bay,Coral Reef Park,FL,US,,495
Palo Alto,El Camino Real and Embarcadero Road,CA,US,,496
Panama City,Hathaway Bridge,FL,US,,497
Paonia,,CO,US,,498
Paris,Culbertson Fountain on the Downtown Square,TX,US,,499
Parkersburg,Bicentennial Park,WV,US,,500
Pasadena,Pasadena City College,CA,US,,501
Payson,Intersection of highway 87 and 260,AZ,US,,502
Peabody,Temple Tiferet Shalom,MA,US,,503
Pensacola,City Hall,FL,US,,504
Peterborough,,NH,US,,505
Peoria,Federal Building and U.S. Courthouse,IL,US,,506
Petaluma,"Petaluma Mail Depot , parking lot (4th & C streets)",CA,US,,507
Petoskey,"People's Park - ""Hole in the Ground""",MI,US,,508
Philadelphia,Philadelphia City Hall North Plaza,PA,US,,509
Phoenix,Arizona Senate,AZ,US,,510
Piedmont,Montclair Park,CA,US,,511
Pikeville,"University of Pikeville, at the bottom of the 99 Steps",KY,US,,512
Pinedale,Jackie Downie's House,WY,US,,513
Pinetop,White Mountain Blvd.,AZ,US,,514
Pittsboro,"Historic Courthouse, Downtown Pittsboro",NC,US,,515
Pittsburg,John Buckley Square,CA,US,,516
Pittsburgh,Mellon Square,PA,US,,517
Pittsfield,Park Square,MA,US,,518
Plattsburgh,Downtown Plattsburgh,NY,US,,519
Pleasanton,Delucchi Park,CA,US,,520
Pocatello,Caldwell Park,ID,US,,521
Point Arena,In front of our threatened Point Arena Post Office,CA,US,,522
Pontiac,Pontiac Public Library,MI,US,,523
Poolesville,Whalen Commons,MD,US,,524
Port Angeles,"Port Angeles Border Patrol Station (lawn, outside gates)",WA,US,,525
Port Clinton,,OH,US,,526
Port Huron,ICE Detention Center,MI,US,,527
Portland,Portland City Hall,ME,US,,528
Portland,North Park Blocks,OR,US,,529
Portsmouth,Market Square in front of the North Church downtown,NH,US,,530
Portsmouth,Tracy Park,OH,US,,531
Potsdam,Potsdam Presbyterian Church,NY,US,,532
Prescott,Prescott Square,AZ,US,,533
Presque Isle,Outside Hardscrabble Solutions,ME,US,,534
Princeton,Hinds Plaza,NJ,US,,535
Prospect Harbor,in front of Gouldsboro Town Office,ME,US,,536
Providence,State House,RI,US,,537
Providence,Pontiac Ave,RI,US,,538
Provincetown,Town Hall,MA,US,,539
Provo,steps of Historic Utah County Courthouse,UT,US,,540
Pueblo,Pueblo County Courthouse,CO,US,,541
Pullman,Cougar Plaza to Reaney Park,WA,US,,542
Quincy,Second String Music,IL,US,,543
Racine,Speaker Paul Ryan's office,WI,US,,544
Raleigh,City Plaza,NC,US,,545
Ramona,10th and Main Street,CA,US,,546
Rapid City,Memorial Park,SD,US,,547
Reading,Reading Town Common,MA,US,,548
Red Bank,Riverside Gardens Park,NJ,US,,549
Red Bank,Marine Park,NJ,US,,550
Redding,Redding City Hall; Cypress Ave,CA,US,,551
Redmond,Centennial Park,OR,US,,552
Redondo Beach,Intersection of Hawthorne and Artesia boulevards,CA,US,,553
Redwood City,Redwood City Courthouse Square,CA,US,,554
Reno,Reno City Hall,NV,US,,555
Reno,Reno Federal Building,NV,US,,556
Rhinebeck,Episcopal Church of the Messiah,NY,US,,557
Richmond,ICE/West County Detention Center,CA,US,,558
Richmond,Richmond Municipal Building,IN,US,,559
Richmond,Virginia Civil Rights Monument,VA,US,,560
Riverside,Galleria at Tyler,CA,US,,561
Roanoke,Roanoke Downtown Library,VA,US,,562
Rochester,Peace Plaza,MN,US,,563
