City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Everett,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20344/signup/?source=&s=,47.972559,-122.222585,
Fair Harbor,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,40.6392666,-73.1842821,
Fairbanks,AK,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20522/signup/?source=&s=,64.8443913,-147.7193892,200
Fairfield,CT,na,500,500,protest,https://act.moveon.org/event/families-belong-together/20072/signup/?source=&s=,41.153804,-73.265501,500
Fairfield,IA,FB: 45,45,45,protest,https://act.moveon.org/event/families-belong-together/20535/signup/?source=&s=,41.007619,-91.94878,45
Falmouth,MA,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20529/signup/?source=&s=,41.570616,-70.618389,100
Fargo,ND,about 200,200,200,protest,https://twitter.com/familiesbelong/status/1013179764176314368,46.927094,-96.834703,200
Farmington,ME,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20102/signup/?source=&s=,44.6698869,-70.1503146,200
Farmington,NM,more than 150,150,150,protest,https://www.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,36.785374,-108.134346,150
Fayetteville,AR,almost a 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19952/signup/?source=&s=,36.0625843,-94.1574328,1000
Fire Island,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,40.6475997,-73.1459474,
Flagstaff,AZ,na,1000,1000,protest,https://act.moveon.org/event/families-belong-together/20558/signup/?source=&s=,35.1990598,-111.6515676,1000
Flemington,NJ,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together_attend1/search/,40.50786,-74.863283,200
Flint,MI,over 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20348/signup/?source=&s=,42.98656,-83.669826,200
Florence,AL,,,,protest,https://act.moveon.org/event/families-belong-together/20382/signup/?source=&s=,34.804383,-87.668745,
Ford Smith,AR,about 90,90,90,protest,https://act.moveon.org/event/families-belong-together/19841/signup/?source=&s=,35.429385,-94.384103,90
Fort Bragg,CA,FB: 32,32,32,protest,https://act.moveon.org/event/families-belong-together/20026/signup/?source=&s=,39.4453729,-123.8062383,32
Fort Gratiot,MI,na,150,150,protest,https://act.moveon.org/event/families-belong-together/19865/signup/?source=&s=,43.00707,-82.425522,150
Fort Myers,FL,about 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20439/signup/?source=&s=,26.597956,-81.846331,500
Fort Wayne,IN,na,65,65,protest,https://act.moveon.org/event/families-belong-together/20434/signup/?source=&s=,41.079858,-85.1393544,65
Fort Worth,TX,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20316/signup/?source=&s=,32.895348,-97.396992,200
Framingham,MA,between 200 and 300,200,300,protest,https://act.moveon.org/event/families-belong-together/20205/signup/?source=&s=,42.2797659,-71.4169975,250
Frankfort,IL,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19923/signup/?source=&s=,41.499035,-87.849201,200
Franklin,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20497/signup/?source=&s=,35.658055,-80.475824,
Frederick,MD,250,250,250,protest,https://act.moveon.org/event/families-belong-together/20878/signup/?source=&s=,39.410585,-77.416861,250
Fremont,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20175/signup/?source=&s=,37.531486,-121.967291,
Fresno,CA,about a thousand,1000,1000,protest,https://act.moveon.org/event/families-belong-together/20014/signup/?source=&s=,36.7363951,-119.7891952,1000
Friday Harbor,WA,,,,protest,https://act.moveon.org/event/families-belong-together/19968/signup/?source=&s=,48.600845,-123.103025,
Gallup,NM,FB: 24,24,24,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,35.534983,-108.737949,24
Gainesville,FL,more than 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20001/signup/?source=&s=,29.610291,-82.422608,500
Galveston,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20223/signup/?source=&s=,29.3070271,-94.7706962,
Gastonia,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20751/signup/?source=&s=,35.267089,-81.195816,
Geneva,NY,,,,protest,https://act.moveon.org/event/families-belong-together/19986/signup/?source=&s=,42.861291,-76.983027,
Gilette,WY,,,,protest,https://act.moveon.org/event/families-belong-together/20222/signup/?source=&s=,44.2922,-105.50398,
Glen Ridge,NJ,more than 600,600,600,protest,https://act.moveon.org/event/families-belong-together/20136/signup/?source=&s=,40.7981559,-74.2059788,600
Glen Rock,NJ,picture,13,15,protest,https://act.moveon.org/event/families-belong-together/20492/signup/?source=&s=,40.965786,-74.141168,14
Glens Falls,NY,,,,protest,https://act.moveon.org/event/families-belong-together/19988/signup/?source=&s=,42.085977,-77.200391,
Glenview,IL,approximately 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20596/signup/?source=&s=,42.068657,-87.758657,150
Glenwood Springs,CO,roughly 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20688/signup/?source=&s=,39.5347953,-107.3239065,200
Goshen,IN,FB: 210,210,210,protest,https://act.moveon.org/event/families-belong-together/20004/signup/?source=&s=,41.509349,-85.757001,210
Gouldsboro,ME,more than 75,75,75,protest,https://twitter.com/OldestVocation/status/1013171760454303744,44.478412,-68.0383389,75
Granbury,TX,,,,protest,https://act.moveon.org/event/families-belong-together/19900/signup/?source=&s=,32.4426589,-97.7870723,
Grand Forks,ND,between 130 and 150,130,150,protest,https://act.moveon.org/event/families-belong-together/20295/signup/?source=&s=,47.907589,-97.076344,140
Grand Junction,CO,FB: 68,68,68,protest,https://act.moveon.org/event/families-belong-together/20468/signup/?source=&s=,39.922989,-105.412483,68
Grand Marais,MN,over 100; 100 to 125,100,125,protest,http://www.cookcountynews-herald.com/news/2018-07-07/General_News/Families_Belong_Together_rally_draws_over_100.html,47.7489076,-90.3351313,112.5
Grand Rapids,MI,over 600,600,600,protest,https://act.moveon.org/event/families-belong-together/20057/signup/?source=&s=,42.9653095,-85.6717041,600
Grand Rapids,MN,FB: 14; around 150,14,150,protest,https://act.moveon.org/event/families-belong-together/20031/signup/?source=&s=,43.652146,-94.462339,82
Grants Pass,OR,,,,protest,https://act.moveon.org/event/families-belong-together/,42.4393707,-123.3272489,
Granville,MA,pic,32,32,protest,https://act.moveon.org/event/families-belong-together/20907/signup/?source=&s=,42.193296,-71.902587,32
Grass Valley,CA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20623/signup/?source=&s=,39.224409,-121.035531,200
Great Barrington,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20543/signup/?source=&s=,42.231347,-73.449483,
Great Falls,MT,,,,protest,https://act.moveon.org/event/families-belong-together/20285/signup/?source=&s=,47.451391,-111.296459,
Great Neck,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,40.8006567,-73.7284647,
Green Bay,WI,about 700,700,700,protest,https://act.moveon.org/event/families-belong-together/20129/signup/?source=&s=,44.473016,-88.029716,700
Greeneville,TN,nearly 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20340/signup/?source=&s=,36.1629013,-82.8305156,100
Greenfield,MA,hundreds; FB: 206,200,206,protest,https://act.moveon.org/event/families-belong-together/19892/signup/?source=&s=,42.651757,-72.612625,203
Greenfield,CA,,,,protest,https://greenfieldnews.com/article/south-county-joins-nationwide-immigration-reform-protests,35.2688739,-119.0028731,
Greenport,NY,scores,40,40,protest,https://act.moveon.org/event/families-belong-together/20071/signup/?source=&s=,41.10124,-72.3611892,40
Greensboro,NC,,,,protest,https://act.moveon.org/event/families-belong-together/?zip=27401&source=&s=,36.069144,-79.765156,
Greensboro,NC,FB: 494; more than 300,300,494,protest,https://act.moveon.org/event/families-belong-together/20838/signup/?akid=undefined&zip=&source=,36.0747575,-79.7881722,397
Greenville,NC,roughly 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20868/signup/?source=&s=,35.597135,-77.325193,150
Greenville,SC,about 250,250,250,protest,https://act.moveon.org/event/families-belong-together/20525/signup/?source=&s=,34.813922,-82.459971,250
Greenwich,CT,about 400,400,400,protest,https://act.moveon.org/event/families-belong-together/20033/signup/?source=&s=,41.0264862,-73.6284598,400
Gulfport,FL,FB: 72; over 500,72,500,protest,https://act.moveon.org/event/families-belong-together/20555/signup/?source=&s=,27.898577,-82.812868,286
Half Moon Bay,CA,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20555/signup/?source=&s=,37.47311,-122.180528,24
Hamilton,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,43.6307863,-74.4659275,
Hammond,IN,more than 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20486/signup/?source=&s=,41.594283,-86.724628,300
Hanover,NH,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20396/signup/?source=&s=,43.766363,-72.194167,24
Harrisburg,PA,more than 325,325,325,protest,https://act.moveon.org/event/families-belong-together/20103/signup/?source=&s=,40.267213,-76.885812,325
Harrisonburg,VA,300+,300,300,protest,https://act.moveon.org/event/families-belong-together/20315/signup/?source=&s=,38.449906,-78.869053,300
Hart,MI,partial count from pic,30,30,protest,https://act.moveon.org/event/families-belong-together/20755/signup/?source=&s=,43.701789,-86.361059,30
Harwich,MA,partial count from video,23,23,protest,https://act.moveon.org/event/families-belong-together/20467/signup/?source=&s=,41.700331,-70.015664,23
Haverhill,MA,video,44,44,protest,https://act.moveon.org/event/families-belong-together/20019/signup/?source=&s=,42.76538,-71.038527,44
Healdsburg,CA,FB: 12,12,99,protest,https://act.moveon.org/event/families-belong-together/20245/signup/?source=&s=,38.610143,-122.871566,55.5
Helena,MT,at least 350 to 400; hundreds,350,400,protest,https://act.moveon.org/event/families-belong-together/20644/signup/?source=&s=,46.5928539,-112.0379384,375
Hendersonville,NC,more than 150,150,150,protest,https://act.moveon.org/event/families-belong-together/19882/signup/?source=&s=,35.290999,-82.624668,150
Henry County,TN,na,4,4,protest,https://twitter.com/amrigg/status/1013126309122396163,36.3180775,-88.3108196,4
Hernando,MS,,,,protest,https://act.moveon.org/event/families-belong-together/20084/signup/?source=&s=,34.823046,-89.989488,
Highland Park,IL,estimated the crowd to be at 300,300,300,protest,https://twitter.com/NYchamps27/status/1013206772050464768,42.1816919,-87.8003438,300
Hillsboro,OR,,,,protest,https://act.moveon.org/event/families-belong-together/,45.5228939,-122.989827,
Hilo,HI,,,,protest,https://act.moveon.org/event/families-belong-together/20678/signup/?source=&s=,19.707243,-155.081635,
Holland,MI,estimated 600; around 1000,600,1000,protest,https://act.moveon.org/event/families-belong-together/19887/signup/?source=&s=,42.7877676,-86.1081052,800
Hollister,CA,na,21,21,protest,https://act.moveon.org/event/families-belong-together/20682/signup/?source=&s=,36.848354,-121.402155,21
Hollywood,FL,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/19920/signup/?source=&s=,26.004501,-80.130929,300
Honolulu,HI,hundreds; FB: 421,200,421,protest,https://act.moveon.org/event/families-belong-together/20067/signup/?source=&s=,21.335599,-157.845138,310.5
Horsham,PA,na,200,200,protest,https://act.moveon.org/event/families-belong-together/20491/signup/?source=&s=,40.2040712,-75.1815887,200
Hot Springs,AR,na,180,180,protest,https://act.moveon.org/event/families-belong-together/20154/signup/?source=&s=,35.20603,-101.839602,180
Houghton,MI,about 90,90,90,protest,https://act.moveon.org/event/families-belong-together/20181/signup/?source=&s=,47.121421,-88.565671,90
Houston,TX,na,15000,15000,protest,https://twitter.com/FrakerMonica/status/1013131186829447168,29.7589382,-95.3676974,15000
Huntington Station,NY,estimated at 800 to 1000,800,1000,protest,https://act.moveon.org/event/families-belong-together/20277/signup/?source=&s=,40.828423,-73.411518,900
Huntsville,AL,FB: 160; about 100,100,160,protest,https://act.moveon.org/event/families-belong-together/20219/signup/?source=&s=,34.7273626,-86.5879074,130
Hyannis,MA,more than 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20781/signup/?source=&s=,41.67324,-70.292484,50
Idaho City,ID,,,,protest,https://act.moveon.org/event/families-belong-together/19974/signup/?source=&s=,43.491468,-116.301946,
Idaho Falls,ID,around two dozen,24,24,protest,https://www.eastidahonews.com/2018/06/crowds-including-those-in-east-idaho-protest-trumps-immigration-policies/,43.4951212,-112.0412093,24
Idyllwild,CA,upwards of 175,175,175,protest,https://act.moveon.org/event/families-belong-together/20210/signup/?source=&s=,33.993756,-117.355017,175
Indiana,PA,,,,protest,https://act.moveon.org/event/families-belong-together/20508/signup/?source=&s=,40.690424,-79.098847,
Indianapolis,IN,in excess of 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19945/signup/?source=&s=,39.775092,-86.13216,1000
Inverness,FL,,40,40,protest,https://act.moveon.org/event/families-belong-together/20538/signup/?source=&s=,28.8369444,-82.33,40
Iowa City,IA,at least 200; more than 600,200,600,protest,https://act.moveon.org/event/families-belong-together/20121/signup/?source=&s=,41.634209,-91.49905,400
Iron Mountain,MI,about 75,75,75,protest,https://act.moveon.org/event/families-belong-together/20363/signup/?source=&s=,42.210417,-86.24896,75
Irvine,CA,na,3000,5000,protest,https://act.moveon.org/event/families-belong-together/20063/signup/?source=&s=,33.6729354,-117.7128803,4000
Ithaca,NY,about 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20373/signup/?source=&s=,42.439609,-76.496806,500
Jackson,MI,na,160,160,protest,https://act.moveon.org/event/families-belong-together/20356/signup/?source=&s=,42.24587,-84.40135,160
Jackson,MS,estimated 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20540/signup/?source=&s=,32.29876,-90.18481,300
Jackson,TN,,,,protest,https://act.moveon.org/event/families-belong-together/19991/signup/?source=&s=,35.6139615,-88.818947,
Jackson Heights,NY,,,,protest,https://act.moveon.org/event/families-belong-together/,40.7556561,-73.8857755,
Jackson Hole,WY,some 200,200,200,protest,https://www.jhnewsandguide.com/the_hole_scroll/article_adec840a-2a66-578e-8200-e00b0c2223dc.html,43.68438,-110.68993,200
Jacksonville,FL,FB: 95,95,95,protest,https://act.moveon.org/event/families-belong-together/20212/signup/?source=&s=,30.33218,-81.65565,95
Jensen Beach,FL,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20429/signup/?source=&s=,27.236473,-80.237943,200
Johnson City,TN,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20533/signup/?source=&s=,36.350039,-82.334182,200
Johnstown,PA,,,,protest,https://act.moveon.org/event/families-belong-together/,40.3267407,-78.9219698,
Joliet,IL,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20513/signup/?source=&s=,41.5347429,-88.0818289,200
Jonesboro,AR,FB: 74,74,74,protest,https://act.moveon.org/event/families-belong-together/20160/signup/?source=&s=,35.8380134,-90.7054105,74
Juneau,AK,na,400,400,protest,https://act.moveon.org/event/families-belong-together/?zip=99801&source=&s=,58.302917,-134.417337,400
Kahului,HI,,,,protest,https://act.moveon.org/event/families-belong-together/19855/signup/?&source=&s=,20.891795,-156.467616,
Kahului,HI,400+,400,400,protest,https://act.moveon.org/event/families-belong-together/20139/signup/?&source=&s=,20.889357,-156.447688,400
Kailua-Kona,HI,,,,protest,https://act.moveon.org/event/families-belong-together/20618/signup/?source=&s=,19.640329,-155.99682,
Kalamazoo,MI,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20116/signup/?&source=&s=,42.2902208,-85.5860029,200
Kalispell,MT,FB:32,32,32,protest,https://www.facebook.com/events/219561955322088,48.1996778,-114.31332,32
Kamuela,HI,,,,protest,https://act.moveon.org/event/families-belong-together/20711/signup/?source=&s=,20.025399,-155.66312,
Kanab,UT,,,,protest,https://www.sltrib.com/news/2018/06/30/us-senator-join-perhaps/,37.0481724,-112.5267951,
Kansas City,MO,about 2000,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19942/signup/?source=&s=,39.0766974,-94.5906963,2000
Keene,NH,several protestors,,,protest,https://act.moveon.org/event/families-belong-together/20040/signup/?source=&s=,42.9340705,-72.2786019,
Kennett Square,PA,,,,protest,https://act.moveon.org/event/families-belong-together/,39.8467243,-75.7115932,
Kenosha,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20527/signup/?source=&s=,42.5874134,-87.8196157,
Kerrville,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20332/signup/?source=&s=,29.988525,-99.155469,
Ketchikan,AK,about 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20626/signup/?source=&s=,55.341556,-131.632868,50
Ketchum,ID,about 150,150,150,protest,https://twitter.com/librarydenizenk/status/1013110224180338688,42.551216,-114.466527,150
Key Largo,FL,na,30,30,protest,https://twitter.com/FrymanSusana/status/1013143913929084928,27.881577,-82.801531,30
King City,CA,more than 50,50,50,protest,https://greenfieldnews.com/article/south-county-joins-nationwide-immigration-reform-protests,36.223033,-121.123082,50
Kingman,AZ,nearly 60,60,60,protest,https://act.moveon.org/event/families-belong-together/20064/signup/?source=&s=,35.113636,-114.608832,60
Kingston,NY,na,1000,1200,protest,https://act.moveon.org/event/families-belong-together/20561/signup/?source=&s=,42.013444,-74.070149,1100
Knoxville,TN,nearly 250,250,250,protest,https://act.moveon.org/event/families-belong-together/20263/signup/?source=&s=,35.9603381,-83.9167024,250
Kodiak,AK,over 30,30,30,protest,https://www.alaskapublic.org/2018/07/02/kodiak-demonstrators-rally-to-keep-families-together/,61.613994,-149.019582,30
La Crosse,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20378/signup/?source=&s=,43.8096791,-91.2509776,
Lafayette,LA,over 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20598/signup/?source=&s=,30.218335,-92.075845,100
Laguna Beach,CA,na,500,500,protest,https://act.moveon.org/event/families-belong-together/20150/signup/?source=&s=,33.5404713,-117.7832555,500
Lake Charles,LA,Around 75-100,75,100,protest,https://act.moveon.org/event/families-belong-together/19971/signup/?source=&s=,30.2196077,-93.2184602,87.5
Lake Worth,FL,FB: 116,116,116,protest,https://act.moveon.org/event/families-belong-together/20758/signup/?source=&s=,26.580595,-80.052598,116
Lakeland,FL,more than 100,101,101,protest,https://act.moveon.org/event/families-belong-together/20782/signup/?source=&s=,28.0440567,-81.9519402,101
Lakeport,CA,roughly 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20173/signup/?source=&s=,38.414985,-122.712501,50
Lambertville,NJ,more than 200,200,200,protest,https://www.newhopefreepress.com/2018/06/30/families-belong-together-rally-in-lambertville-saturday-draws-large-crowd/,40.3718376,-74.9468862,200
Lancaster,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20426/signup/?source=&s=,34.6985417,-118.1403232,
Lancaster,PA,200-some,200,200,protest,https://lancasteronline.com/news/local/families-belong-together-protest-draws-about-in-lancaster/article_59496d82-7c8e-11e8-90ee-73ef88cd2255.html,40.041948,-76.314453,200
Lanesboro,MN,over 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20532/signup/?source=&s=,44.01901,-92.61708,100
Langley,WA,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20360/signup/?source=&s=,48.0399806,-122.4094051,200
Lansing,MI,more than 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/20360/signup/?source=&s=,42.733675,-84.553889,1000
Laredo,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20536/signup/?source=&s=,27.466659,-99.477316,
Las Vegas,NV,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19856/signup/?source=&s=,36.03022,-114.97447,200
Lawrence,KS,about 700,700,700,protest,https://act.moveon.org/event/families-belong-together/20236/signup/?source=&s=,38.9618617,-95.2358977,700
Lawrenceville,GA,FB: 79,79,79,protest,https://act.moveon.org/event/families-belong-together/20055/signup/?source=&s=,33.950524,-83.999578,79
Lenexa,KS,,,,protest,https://act.moveon.org/event/families-belong-together/21044/signup/?source=&s=,38.9810601,-94.7956668,
Leonia,NJ,picture,10,12,protest,https://act.moveon.org/event/families-belong-together_attend1/search/,40.8617353,-73.9880495,11
Lewiston,ID,FB: 54,54,54,protest,https://act.moveon.org/event/families-belong-together/20137/signup/?source=&s=,46.049983,-116.351624,54
Lewiston/Auburn,ME,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20632/signup/?source=&s=,44.050157,-70.290494,200
Lexington,KY,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/20367/signup/?source=&s=,38.0461942,-84.4961164,300
Libby,MT,,,,protest,https://act.moveon.org/event/families-belong-together/20789/signup/?source=&s=,48.3882861,-115.5559988,
Liberty,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20339/signup/?source=&s=,30.079325,-94.801251,
Lido Beach,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20479/signup/?source=&s=,40.588715,-73.638149,
Lincoln,NE,,,,protest,https://act.moveon.org/event/families-belong-together/19931/signup/?&source=&s=,40.75284,-96.613768,
Lincoln,NE,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19990/signup/?&source=&s=,40.8138,-96.739742,200
Litchfield,CT,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19961/signup/?source=&s=,41.7471137,-73.1896814,200
Little Rock,AR,between 400 and 500,400,500,protest,https://twitter.com/wrighteng62/status/1013188557920448512,34.745505,-92.288955,450
Littleton,NH,FB: 46,46,46,protest,https://act.moveon.org/event/families-belong-together/20319/signup/?source=&s=,44.3073701,-71.7751121,46
Livermore,CA,350,350,350,protest,https://act.moveon.org/event/families-belong-together/20112/signup/?source=&s=,37.673405,-121.729813,350
Livingston,MT,FB,28,28,protest,https://act.moveon.org/event/families-belong-together/20350/signup/?source=&s=,45.682548,-110.548132,28
Logan,UT,roughly 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20226/signup/?source=&s=,41.7347564,-111.8356694,200
Logansport,IN,na,48,48,protest,https://act.moveon.org/event/families-belong-together/20481/signup/?source=&s=,40.761448,-86.261704,48
Long Beach,CA,na,1300,1300,protest,https://act.moveon.org/event/families-belong-together/20127/signup/?source=&s=,33.865012,-118.186905,1300
Longmont,CO,count video,100,100,protest,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,40.1672117,-105.1019287,100
Longview,TX,FB: 64,64,64,protest,https://act.moveon.org/event/families-belong-together/20325/signup/?source=&s=,32.553956,-94.794751,64
Longview,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20231/signup/?source=&s=,46.155957,-122.984194,
Los Angeles,CA,upwards of 75000,75000,75000,protest,https://act.moveon.org/event/families-belong-together/19831/signup/?source=&s=,33.7397099,-118.2787649,75000
Louisville,KY,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20117/signup/?source=&s=,38.158361,-85.610678,200
Louisville,KY,roughly 200,200,200,protest; march,https://www.courier-journal.com/story/news/local/2018/06/30/families-belong-together-louisville-immigration-protest/741211002/,38.255769,-85.761736,200
Lubbock,TX,more than 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20283/signup/?source=&s=,33.57786,-101.85517,100
Ludington,MI,na,150,150,protest,https://act.moveon.org/event/families-belong-together/20583/signup/?source=&s=,43.9560727,-86.453814,150
Lufkin,TX,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20233/signup/?source=&s=,31.3390773,-94.7270406,24
Lumpkin,GA,FB: 51,51,51,protest,https://www.facebook.com/events/1923091511042482/,32.091893,-84.666741,51
Lunenburg,MA,250 to 300,250,300,protest,https://act.moveon.org/event/families-belong-together/19905/signup/?source=&s=,42.59554,-71.725005,275
Machias,ME,,,,protest,https://act.moveon.org/event/families-belong-together/20438/signup/?source=&s=,44.715098,-67.457516,
Macomb,IL,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20593/signup/?source=&s=,40.4607631,-90.6709515,100
Madison,WI,more than 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19857/signup/?source=&s=,43.074718,-89.386238,1000
Madisonville,KY,approx 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20767/signup/?source=&s=,37.327977,-87.49694,50
Madras,OR,,,,protest,https://act.moveon.org/event/families-belong-together/20404/signup/?source=&s=,44.642252,-121.129517,
Malibu,CA,about 100,100,100,protest,https://topanga-journal.com/martin-sheen-gives-impassioned-speech-at-families-belong-together-immigration-rally-malibu-topanga/,33.925046,-118.194461,100
Malone,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20201/signup/?source=&s=,44.178266,-73.430767,
Manchester,NH,FB: 297,297,297,protest,https://act.moveon.org/event/families-belong-together/19921/signup/?source=&s=,42.9910085,-71.4634067,297
Manchester Center,VT,,,,protest,https://act.moveon.org/event/families-belong-together/20185/signup/?source=&s=,43.1775611,-73.0529903,
Manistee,MI,nearly a hundred,100,100,protest,https://act.moveon.org/event/families-belong-together/20460/signup/?source=&s=,44.2474023,-86.3252016,100
Mankato,MN,hundreds,200,375,protest,https://act.moveon.org/event/families-belong-together/20727/signup/?source=&s=,44.20016,-93.973683,287.5
Mansfield,MA,more than 130,130,130,protest,https://act.moveon.org/event/families-belong-together/20218/signup/?source=&s=,42.028337,-71.171591,130
Marquette,MI,na,75,75,protest,https://act.moveon.org/event/families-belong-together/20826/signup/?source=&s=,46.5438902,-87.3957177,75
Marshalltown,IA,about 125,125,125,protest,https://act.moveon.org/event/families-belong-together/20230/signup/?source=&s=,42.0485045,-92.9121271,125
Mashpee,MA,25 and 25 more down the road,50,50,protest,https://act.moveon.org/event/families-belong-together/20507/signup/?source=&s=,41.6180727,-70.486712,50
Mason City,IA,about two dozen,24,24,protest,https://act.moveon.org/event/families-belong-together/20511/signup/?source=&s=,43.1522492,-93.2019189,24
McAllen,TX,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20209/signup/?source=&s=,26.158901,-97.998724,24
McCall,ID,FB: 22,22,22,protest,https://act.moveon.org/event/families-belong-together/20253/signup/?source=&s=,44.91101,-116.09874,22
McCook,NE,,,,protest,https://act.moveon.org/event/families-belong-together/20397/signup/?source=&s=,40.2040151,-100.6249925,
McKinney,TX,FB: 71,71,71,protest,https://act.moveon.org/event/families-belong-together/20402/signup/?source=&s=,32.953984,-95.297981,71
Medford,OR,,,,protest,https://act.moveon.org/event/families-belong-together/19946/signup/?source=&s=,42.3264045,-122.871826,
Melbourne,FL,,,,protest,https://act.moveon.org/event/families-belong-together/20605/signup/?source=&s=,28.131325,-80.622342,
Memphis,TN,nearly 500,500,500,protest,https://act.moveon.org/event/families-belong-together/19928/signup/?source=&s=,35.1603313,-89.9201019,500
Menomonie,WI,nearly 300,300,300,protest; march,https://chippewa.com/dunnconnect/news/local/coming-together-because-families-belong-together/article_37651d42-e22c-5c80-b71e-789e21c66217.html,44.875561,-91.925883,300
Merced,CA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19972/signup/?source=&s=,37.312289,-120.471342,200
Meridian,ID,,20,20,protest,https://act.moveon.org/event/families-belong-together/20406/signup/?source=&s=,43.6025838,-116.3882196,20
Miami,FL,,,,protest,https://act.moveon.org/event/families-belong-together/20101/signup/?&source=&s=,25.7326447,-80.3234299,
Miami,FL,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20370/signup/?&source=&s=,25.921829,-80.173844,200
Middletown,CT,about 350; about 250,250,350,protest,https://act.moveon.org/event/families-belong-together/19982/signup/?source=&s=,41.5565892,-72.6480908,300
Midland,TX,close to 100,100,100,protest,http://www.newswest9.com/story/38548937/midlanders-hold-keep-families-together-protest,32.0303397,-102.1319113,100
Milford,CT,,,,protest,https://act.moveon.org/event/families-belong-together/20512/signup/?source=&s=,41.217734,-73.008247,
Milford,MA,more than a dozen,12,12,protest,http://www.metrowestdailynews.com/news/20180630/metrowest-rallies-decry-separation-of-children,42.1398188,-71.516174,12
